Root Name,Title,Author,Date/Time,Groups,Description,ActualStartTime,DATAFILENAME,DATAFILEPATH,LOCATION,PROJECTNAME,PROJECTSTARTDATE,SampleRate_s_s_,TDMS_FileType,TestDuration_s_,,,,
PonkaConcreteBridge_R6_07_25_2019_10_16_36,PonkaConcretBridge,Dr Linzell Team,,1,Short description of what the test is all about.,07/25/2019 10:16:37.939 AM,C:\STS_UserData\Data\July_2019\25\PonkaConcreteBridge_R6_07_25_2019_10_16_36.tdms,C:\STS_UserData\Data,Ponak Omaha,PonkaConcreteBridge,9:43:14.942 AM7/25/2019,100,LiveloadData,1200,,,,
,,,,,,,,,,,,,,,,,,
Group,Channels,Description,GroupName,SampleRate_s_s_,,,,,,,,,,,,,,
Sensors_Started @ 10:16:36.269,33,,Sensors,100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sensors_Started @ 10:16:36.269,,,,,,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ArrayColumn,Attributes,CalFactor,CalOffset,ExcitationMode,Gain,Location,Offset,RatioMetric_,SensorName,Type,Start Index
Time,DT_DOUBLE,s,1846,,,,0,,,,,,,,,,,
B7030_18A,DT_DOUBLE,ue,1846,-0.7332,13.828384,,0,{NULL},103720,0,ExcitationOn,64,"P-0463,0,CHAN-1",-127.014259,Not RatioMetric,B7030_18A,Strain,
B4520_18A,DT_DOUBLE,ue,1846,-0.409363,5.418945,,0,{NULL},107760,0,ExcitationOn,64,"P-0463,0,CHAN-2",-574.841431,Not RatioMetric,B4520_18A,Strain,
B7037_18A,DT_DOUBLE,ue,1846,-0.200098,3.437612,,0,{NULL},103460,0,ExcitationOn,64,"P-0463,0,CHAN-3",10.474447,Not RatioMetric,B7037_18A,Strain,
P-0463-0-CHAN-4,DT_DOUBLE,none,1846,-0.002564,-0.002503,,0,{NULL},1,0,ExcitationOn,1,"P-0463,0,CHAN-4",0,Not RatioMetric,P-0463-0-CHAN-4,Unknown,
B7060_18A,DT_DOUBLE,ue,1846,-1.636261,18.320923,,0,{NULL},103720,0,ExcitationOn,64,"P-0448,0,CHAN-1",-463.639984,Not RatioMetric,B7060_18A,Strain,
B4524_18A,DT_DOUBLE,ue,1846,-0.293091,7.735748,,0,{NULL},108120,0,ExcitationOn,64,"P-0448,0,CHAN-2",-392.40387,Not RatioMetric,B4524_18A,Strain,
B5410_18A,DT_DOUBLE,ue,1846,-0.448746,17.193909,,0,{NULL},106080,0,ExcitationOn,64,"P-0448,0,CHAN-3",130.790573,Not RatioMetric,B5410_18A,Strain,
B4531_18A,DT_DOUBLE,ue,1846,-0.51355,18.906677,,0,{NULL},108920,0,ExcitationOn,64,"P-0448,0,CHAN-4",-607.536682,Not RatioMetric,B4531_18A,Strain,
B7039_18A,DT_DOUBLE,ue,1846,0.127014,10.590546,,0,{NULL},102620,0,ExcitationOn,64,"IW4-0626,0,CHAN-1",-517.27179,Not RatioMetric,B7039_18A,Strain,
B7056_18A,DT_DOUBLE,ue,1846,-0.380432,9.232285,,0,{NULL},102920,0,ExcitationOn,64,"IW4-0626,0,CHAN-2",-138.629044,Not RatioMetric,B7056_18A,Strain,
B5406_18A,DT_DOUBLE,ue,1846,-0.263268,11.891563,,0,{NULL},106560,0,ExcitationOn,64,"IW4-0626,0,CHAN-3",-95.089111,Not RatioMetric,B5406_18A,Strain,
B5395_18A,DT_DOUBLE,ue,1846,-0.226627,12.841785,,0,{NULL},108400,0,ExcitationOn,64,"IW4-0626,0,CHAN-4",-46.611877,Not RatioMetric,B5395_18A,Strain,
B6192_18A,DT_DOUBLE,ue,1846,-6.691544,0.079681,,0,{NULL},104960,0,ExcitationOn,64,"IW4-0623,0,CHAN-1",-211.876007,Not RatioMetric,B6192_18A,Strain,
B6190_18A,DT_DOUBLE,ue,1846,-0.264385,21.411182,,0,{NULL},114400,0,ExcitationOn,64,"IW4-0623,0,CHAN-2",58.749332,Not RatioMetric,B6190_18A,Strain,
B7035_18A,DT_DOUBLE,ue,1846,-0.13678,9.226959,,0,{NULL},102560,0,ExcitationOn,64,"IW4-0623,0,CHAN-3",-103.119591,Not RatioMetric,B7035_18A,Strain,
