Root Name,Title,Author,Date/Time,Groups,Description,ActualStartTime,DATAFILENAME,DATAFILEPATH,LOCATION,PROJECTNAME,PROJECTSTARTDATE,SampleRate_s_s_,TDMS_FileType,TestDuration_s_,,,,
PonkaConcreteBridge_R31_07_25_2019_11_01_01,PonkaConcretBridge,Dr Linzell Team,,1,Short description of what the test is all about.,07/25/2019 11:01:03.005 AM,C:\STS_UserData\Data\July_2019\25\PonkaConcreteBridge_R31_07_25_2019_11_01_01.tdms,C:\STS_UserData\Data,Ponak Omaha,PonkaConcreteBridge,9:43:14.942 AM7/25/2019,100,LiveloadData,1200,,,,
,,,,,,,,,,,,,,,,,,
Group,Channels,Description,GroupName,SampleRate_s_s_,,,,,,,,,,,,,,
Sensors_Started @ 11:01:01.321,33,,Sensors,100,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sensors_Started @ 11:01:01.321,,,,,,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ArrayColumn,Attributes,CalFactor,CalOffset,ExcitationMode,Gain,Location,Offset,RatioMetric_,SensorName,Type,Start Index
Time,DT_DOUBLE,s,1745,,,,0,,,,,,,,,,,
B7030_18A,DT_DOUBLE,ue,1745,-0.458832,15.149361,,0,{NULL},103720,0,ExcitationOn,64,"P-0463,0,CHAN-1",-134.294266,Not RatioMetric,B7030_18A,Strain,
B4520_18A,DT_DOUBLE,ue,1745,-0.209473,13.041321,,0,{NULL},107760,0,ExcitationOn,64,"P-0463,0,CHAN-2",-582.557007,Not RatioMetric,B4520_18A,Strain,
B7037_18A,DT_DOUBLE,ue,1745,-0.184274,6.403325,,0,{NULL},103460,0,ExcitationOn,64,"P-0463,0,CHAN-3",2.719758,Not RatioMetric,B7037_18A,Strain,
P-0463-0-CHAN-4,DT_DOUBLE,none,1745,-0.002571,-0.002511,,0,{NULL},1,0,ExcitationOn,1,"P-0463,0,CHAN-4",0,Not RatioMetric,P-0463-0-CHAN-4,Unknown,
B7060_18A,DT_DOUBLE,ue,1745,-0.198456,10.128754,,0,{NULL},103720,0,ExcitationOn,64,"P-0448,0,CHAN-1",-469.932648,Not RatioMetric,B7060_18A,Strain,
B4524_18A,DT_DOUBLE,ue,1745,-0.298004,3.238861,,0,{NULL},108120,0,ExcitationOn,64,"P-0448,0,CHAN-2",-399.061554,Not RatioMetric,B4524_18A,Strain,
B5410_18A,DT_DOUBLE,ue,1745,-0.230156,14.452545,,0,{NULL},106080,0,ExcitationOn,64,"P-0448,0,CHAN-3",124.301132,Not RatioMetric,B5410_18A,Strain,
B4531_18A,DT_DOUBLE,ue,1745,-0.217896,17.013,,0,{NULL},108920,0,ExcitationOn,64,"P-0448,0,CHAN-4",-614.432434,Not RatioMetric,B4531_18A,Strain,
B7039_18A,DT_DOUBLE,ue,1745,0.000351,11.948166,,0,{NULL},102620,0,ExcitationOn,64,"IW4-0626,0,CHAN-1",-186.219009,Not RatioMetric,B7039_18A,Strain,
B7056_18A,DT_DOUBLE,ue,1745,-0.300537,12.60434,,0,{NULL},102920,0,ExcitationOn,64,"IW4-0626,0,CHAN-2",-148.940765,Not RatioMetric,B7056_18A,Strain,
B5406_18A,DT_DOUBLE,ue,1745,-0.31546,16.612335,,0,{NULL},106560,0,ExcitationOn,64,"IW4-0626,0,CHAN-3",-103.351273,Not RatioMetric,B5406_18A,Strain,
B5395_18A,DT_DOUBLE,ue,1745,-0.38596,19.042648,,0,{NULL},108400,0,ExcitationOn,64,"IW4-0626,0,CHAN-4",-55.499611,Not RatioMetric,B5395_18A,Strain,
B6192_18A,DT_DOUBLE,ue,1745,-5.246384,0.074234,,0,{NULL},104960,0,ExcitationOn,64,"IW4-0623,0,CHAN-1",-215.537369,Not RatioMetric,B6192_18A,Strain,
B6190_18A,DT_DOUBLE,ue,1745,-0.409676,21.679729,,0,{NULL},114400,0,ExcitationOn,64,"IW4-0623,0,CHAN-2",48.776661,Not RatioMetric,B6190_18A,Strain,
B7035_18A,DT_DOUBLE,ue,1745,-0.508186,10.48896,,0,{NULL},102560,0,ExcitationOn,64,"IW4-0623,0,CHAN-3",-107.937614,Not RatioMetric,B7035_18A,Strain,
B7059_18A,DT_DOUBLE,ue,1745,-0.37606,22.870544,,0,{NULL},104280,0,ExcitationOn,64,"IW4-0623,0,CHAN-4",103.465942,Not RatioMetric,B7059_18A,Strain,
B7046_18A,DT_DOUBLE,ue,1745,-0.722404,12.293015,,0,{NULL},102880,0,ExcitationOn,64,"IW4-0625,0,CHAN-1",33.364311,Not RatioMetric,B7046_18A,Strain,
B7032_18A,DT_DOUBLE,ue,1745,-0.742496,10.525824,,0,{NULL},100720,0,ExcitationOn,64,"IW4-0625,0,CHAN-2",-22.573973,Not RatioMetric,B7032_18A,Strain,
B5382_18A,DT_DOUBLE,ue,1745,-1.037033,1.031219,,0,{NULL},104320,0,ExcitationOn,64,"IW4-0625,0,CHAN-3",184.395844,Not RatioMetric,B5382_18A,Strain,
B6191_18A,DT_DOUBLE,ue,1745,-0.23086,5.418836,,0,{NULL},107720,0,ExcitationOn,64,"IW4-0625,0,CHAN-4",8.499638,Not RatioMetric,B6191_18A,Strain,
B6182_18A,DT_DOUBLE,ue,1745,-1.170961,6.728904,,0,{NULL},107160,0,ExcitationOn,64,"IW4-0634,0,CHAN-1",-21.967884,Not RatioMetric,B6182_18A,Strain,
B5401_18A,DT_DOUBLE,ue,1745,-0.441025,6.05957,,0,{NULL},105780,0,ExcitationOn,64,"IW4-0634,0,CHAN-2",139.197556,Not RatioMetric,B5401_18A,Strain,
B7062_18A,DT_DOUBLE,ue,1745,-0.242798,4.712891,,0,{NULL},105000,0,ExcitationOn,64,"IW4-0634,0,CHAN-3",-565.443237,Not RatioMetric,B7062_18A,Strain,
B7029_18A,DT_DOUBLE,ue,1745,-0.157257,2.232056,,0,{NULL},101400,0,ExcitationOn,64,"IW4-0634,0,CHAN-4",97.643585,Not RatioMetric,B7029_18A,Strain,
B7031_18A,DT_DOUBLE,ue,1745,-0.391537,20.216141,,0,{NULL},101760,0,ExcitationOn,64,"IW4-0636,0,CHAN-1",62.98777,Not RatioMetric,B7031_18A,Strain,
B5412_18A,DT_DOUBLE,ue,1745,-0.238853,15.070358,,0,{NULL},106300,0,ExcitationOn,64,"IW4-0636,0,CHAN-2",110.822273,Not RatioMetric,B5412_18A,Strain,
B7042_18A,DT_DOUBLE,ue,1745,-5.880192,0.080772,,0,{NULL},102140,0,ExcitationOn,64,"IW4-0636,0,CHAN-3",-54.594299,Not RatioMetric,B7042_18A,Strain,
B4523_18A,DT_DOUBLE,ue,1745,-0.285339,15.060181,,0,{NULL},111720,0,ExcitationOn,64,"IW4-0636,0,CHAN-4",-589.901062,Not RatioMetric,B4523_18A,Strain,
B6178_18A,DT_DOUBLE,ue,1745,-0.179138,4.247986,,0,{NULL},108440,0,ExcitationOn,64,"IW4-0627,0,CHAN-1",-299.642029,Not RatioMetric,B6178_18A,Strain,
B5381_18A,DT_DOUBLE,ue,1745,-0.138271,4.267483,,0,{NULL},106840,0,ExcitationOn,64,"IW4-0627,0,CHAN-2",-50.279209,Not RatioMetric,B5381_18A,Strain,
IW4-0627-0-CHAN-3,DT_DOUBLE,none,1745,-0.0031,-0.003045,,0,{NULL},1,0,ExcitationOn,1,"IW4-0627,0,CHAN-3",0,Not RatioMetric,IW4-0627-0-CHAN-3,Unknown,
IW4-0627-0-CHAN-4,DT_DOUBLE,none,1745,-0.002367,-0.00231,,0,{NULL},1,0,ExcitationOn,1,"IW4-0627,0,CHAN-4",0,Not RatioMetric,IW4-0627-0-CHAN-4,Unknown,
